mean_test_score,std_test_score,rank_test_score,lgbm__bagging_fraction,lgbm__bagging_freq,lgbm__feature_fraction,lgbm__learning_rate,lgbm__max_depth,lgbm__min_child_samples,lgbm__n_estimators,lgbm__num_leaves,pca__n_components
0.920646984092101,0.00608856176703719,60,0.8,10,0.8,0.5,10,10,200,50,10
0.9204740593471115,0.006045930606295948,61,0.8,10,0.8,0.5,10,10,150,80,10
0.9204557976523329,0.003543525945426376,62,0.8,10,0.8,0.5,20,10,150,50,30
0.9204557976523329,0.003543525945426376,62,0.8,10,0.8,0.5,-1,10,150,31,30
0.9201384993783013,0.005048820050791039,64,0.8,10,0.8,0.5,10,10,150,31,10
0.9199855027405173,0.006241623674744948,65,0.8,10,1.0,0.5,10,5,200,80,20
0.9199760717199797,0.0076053886307409805,66,0.8,10,0.8,0.5,-1,5,150,50,30
0.9198060752227516,0.0068524993278236985,67,0.8,10,0.8,0.5,10,10,150,50,10
0.9195303054566818,0.008288708092206802,68,0.8,10,1.0,0.5,10,5,200,50,20
0.919410756696666,0.005071641042452987,69,0.8,10,0.8,0.5,10,10,200,80,10
0.9191024341264665,0.0056900944794721405,70,0.8,10,0.8,0.5,-1,5,200,31,30
0.9190922538468167,0.00793834449711561,71,0.8,10,0.8,0.5,20,10,150,31,10
0.9188370056890818,0.003968036940204885,72,0.8,10,0.8,0.5,20,5,200,31,20
0.9188370056890818,0.003968036940204885,72,0.8,10,0.8,0.5,20,5,150,80,20
0.9188329306984289,0.0056594017511709905,74,0.8,10,0.8,0.5,-1,10,200,50,10
0.9187743781460964,0.006776509990643718,75,0.8,10,0.8,0.5,-1,5,150,31,20
0.9187507752869175,0.007333964730699737,76,0.8,10,0.8,0.5,20,5,200,50,20
0.9187078844421552,0.005451197912078172,77,0.8,10,0.8,0.5,20,10,200,50,10
0.9186957280084522,0.00637311968675701,78,0.8,10,0.8,0.5,20,10,150,50,10
0.9186711600535029,0.0054787013257373745,79,0.8,10,0.8,0.5,-1,10,150,80,10
0.918664545305052,0.004378005224197887,80,0.8,10,0.8,0.5,20,10,150,80,10
0.9184236158701836,0.0067043548692449495,81,0.8,10,0.8,0.5,10,10,150,31,30
0.9183080086317617,0.006396785765564578,82,0.8,10,0.8,0.5,10,10,150,50,30
