,Specificity,Recall,Accuracy,Precision,F1-Score,MCC,ROC AUC,PR AUC
svm_rm_classifier,0.6629136029411765,0.7615248226950354,0.6707557811618725,0.16330798479087452,0.2689417658108954,0.23773967385945582,0.7122192128181059,0.4718989192533893
nn_rm_classifier,0.8848805147058824,0.7992021276595744,0.8780668358714044,0.3749220212102308,0.5104033970276008,0.4932787110060869,0.8420413211827283,0.5950464229966623
lgbm_rm_classifier,0.9155560661764706,0.6959219858156028,0.898089396503102,0.41589403973509936,0.5206433427292323,0.4870866836703924,0.8057390259960366,0.5679991013258305
IF_cluster,0.9458486519607843,0.287677304964539,0.8935067681895094,0.31459040232670865,0.3005325306783978,0.24330778749497017,0.6167629784626616,0.32945802172232996
DBSCAN_cluster,0.9965533088235294,0.11125886524822695,0.926149182177101,0.7360703812316716,0.19329996149403159,0.26766520795840854,0.5539060870358782,0.4590037377351552
