mean_test_score,std_test_score,rank_test_score,lgbm__bagging_fraction,lgbm__bagging_freq,lgbm__feature_fraction,lgbm__learning_rate,lgbm__max_depth,lgbm__min_child_samples,lgbm__n_estimators,lgbm__num_leaves,lgbm__verbose,pca__n_components
0.9543430812563262,0.004103511446428846,56,0.8,5,0.8,0.2,10,10,150,50,-1,10
0.9541036850348213,0.004208110101996911,57,0.8,5,0.8,0.2,-1,10,150,31,-1,10
0.9541010132392721,0.004297717844904018,58,0.8,5,0.8,0.2,10,10,150,31,-1,10
0.9538787940864226,0.006123687514736464,59,1.0,10,0.8,0.2,20,10,150,80,-1,10
0.9537590511788002,0.0037321696464352326,60,1.0,5,0.8,0.2,10,5,200,31,-1,10
0.9537511129978513,0.00423444912091691,61,0.8,5,1.0,0.2,20,10,150,80,-1,10
0.9537479373026091,0.005024215717466467,62,1.0,10,1.0,0.1,20,10,200,50,-1,20
0.9535745407574417,0.004162662280491587,63,1.0,10,0.8,0.2,10,5,200,31,-1,10
0.9534974040037228,0.004421465172971186,64,0.8,5,1.0,0.2,-1,10,150,80,-1,10
0.953306049422004,0.005853315454873071,65,1.0,10,0.8,0.2,20,10,200,50,-1,10
0.9532414871774387,0.0052639333147424736,66,0.8,5,0.8,0.1,20,5,150,80,-1,10
0.9532292320135539,0.005671792677866199,67,1.0,10,1.0,0.1,-1,10,200,31,-1,20
0.9530362389812869,0.004272730861783764,68,1.0,10,0.8,0.2,-1,10,200,31,-1,10
0.9530238053724952,0.005708346776618623,69,0.8,5,0.8,0.2,20,10,150,80,-1,10
0.9530238053724952,0.005708346776618623,69,0.8,5,0.8,0.2,20,10,150,50,-1,10
0.9529834397988172,0.005605880662697043,71,0.8,5,0.8,0.1,-1,5,150,31,-1,10
0.9529087682562339,0.004615688287504722,72,1.0,10,0.8,0.2,-1,10,150,31,-1,10
0.9528716852199478,0.006165402677572374,73,0.8,5,1.0,0.2,20,10,150,50,-1,10
0.9528553824849961,0.005156568019818376,74,1.0,5,0.8,0.2,20,10,150,50,-1,10
0.9527497909865966,0.005676488008868234,75,1.0,5,0.8,0.2,20,10,150,80,-1,10
0.9525955774423973,0.004375864541663129,76,1.0,10,0.8,0.2,-1,10,200,80,-1,10
0.9524931582709224,0.004715575092616354,77,1.0,5,1.0,0.1,-1,10,200,50,-1,20
0.9524886528743727,0.004759910799059743,78,0.8,5,0.8,0.2,20,10,150,31,-1,10
0.9524663116248329,0.005964371764679477,79,0.8,5,1.0,0.2,20,10,150,31,-1,10
0.9524092366153203,0.0036710932830701978,80,0.8,5,0.8,0.1,20,5,150,50,-1,10
0.9523685533639359,0.004099573630432251,81,0.8,5,0.8,0.2,10,10,150,80,-1,10
0.9523255373327382,0.004297872691992418,82,1.0,5,0.8,0.2,20,10,200,31,-1,10
0.9522615947549529,0.0037801373642044004,83,1.0,10,0.8,0.2,20,10,200,31,-1,10
0.9522357097186651,0.0057744047118779,84,1.0,10,0.8,0.2,-1,10,150,80,-1,10
0.9520949217912549,0.006512347368679574,85,1.0,10,0.8,0.2,-1,10,150,50,-1,10
0.9518598296708302,0.00460263792464901,86,1.0,5,0.8,0.2,20,10,150,31,-1,10
0.9518137398167861,0.004669316218934042,87,1.0,5,0.8,0.2,-1,10,150,50,-1,10
0.9518124623952063,0.0054929816759872125,88,1.0,10,0.8,0.2,10,5,200,50,-1,10
0.9518124623952063,0.0054929816759872125,88,1.0,10,0.8,0.2,20,10,150,31,-1,10
0.9517476643166338,0.004765145473742674,90,1.0,5,0.8,0.2,-1,10,150,31,-1,10
0.9517071186452697,0.0048966974287133124,91,1.0,10,0.8,0.2,10,5,200,80,-1,10
0.9516650852759744,0.004711757444441815,92,0.8,5,0.8,0.2,-1,10,150,80,-1,10
0.9516039947280843,0.005234814013252426,93,1.0,5,1.0,0.1,-1,10,200,80,-1,20
0.9515539020159742,0.004881916353651941,94,0.8,5,1.0,0.2,-1,10,150,50,-1,10
0.9514717649492545,0.006052242639031844,95,0.8,5,0.8,0.2,-1,10,150,50,-1,10
0.9513646864458878,0.00497734682362727,96,1.0,5,0.8,0.2,-1,10,150,80,-1,10
0.9513123378272421,0.005427928692191867,97,1.0,10,1.0,0.1,-1,10,200,50,-1,20
